sku_id,product_category,week_id,sales_qty,inventory_begin,inventory_end,receipts,lead_time_days,unit_cost,holding_cost_rate
AU-001,Audio,2023-W01,164.0,889.0,725,0,29,21.49,0.28
AU-001,Audio,2023-W02,114.0,725.0,611,0,29,21.49,0.28
AU-001,Audio,2023-W03,,611.0,467,0,36,21.49,0.28
AU-001,Audio,2023-W04,107.0,467.0,360,0,29,21.49,0.28
AU-001,Audio,2023-W05,,360.0,898,667,20,21.49,0.28
AU-001,Audio,2023-W06,144.0,898.0,754,0,40,21.49,0.28
AU-001,Audio,2023-W07,143.0,754.0,611,0,19,21.49,0.28
AU-001,Audio,2023-W08,56.0,611.0,555,0,32,21.49,0.28
AU-001,Audio,2023-W09,90.0,555.0,465,0,30,21.49,0.28
AU-001,Audio,2023-W10,153.0,465.0,312,0,23,21.49,0.28
AU-001,Audio,2023-W11,100.0,312.0,879,667,29,21.49,0.28
AU-001,Audio,2023-W12,75.0,879.0,804,0,22,21.49,0.28
AU-001,Audio,2023-W13,111.0,804.0,693,0,25,21.49,0.28
AU-001,Audio,2023-W14,128.0,693.0,565,0,47,21.49,0.28
AU-001,Audio,2023-W15,113.0,565.0,452,0,22,21.49,0.28
AU-001,Audio,2023-W16,150.0,452.0,302,0,16,21.49,0.28
AU-001,Audio,2023-W17,72.0,302.0,897,667,23,21.49,0.28
AU-001,audio products,2023-W18,103.0,897.0,794,0,23,21.49,0.28
AU-001,Audio,2023-W19,110.0,794.0,684,0,29,21.49,0.28
AU-001,Audio,2023/W20,-73.0,684.0,544,0,28,21.49,0.28
AU-001,Audio,2023-W21,95.0,544.0,449,0,35,21.49,0.28
AU-001,Audio,2023-W22,88.0,449.0,361,0,16,21.49,0.28
AU-001,Audio,2023-W23,144.0,361.0,884,667,35,21.49,0.28
AU-001,Audio,2023-W24,89.0,884.0,795,0,25,21.49,0.28
AU-001,Audio,2023-W25,85.0,795.0,710,0,30,21.49,0.28
AU-001,AUDIO,2023-W26,159.0,710.0,551,0,32,21.49,0.28
AU-001,Audio,2023-W27,139.0,551.0,412,0,33,21.49,0.28
AU-001,Audio,2023-W28,111.0,412.0,968,667,35,21.49,0.28
AU-001,Audio,2023-W29,131.0,968.0,837,0,38,21.49,0.28
AU-001,Audio,2023-W30,98.0,837.0,739,0,15,21.49,0.28
AU-001,Audio,2023-W31,5000.0,739.0,599,0,30,21.49,0.28
AU-001,Audio,2023-W32,102.0,599.0,497,0,26,21.49,0.28
AU-001,audio,2023-W33,182.0,497.0,315,0,23,21.49,0.28
AU-001,Audio,2023-W33,182.0,497.0,315,0,23,21.49,0.28
AU-001,Audio,2023-W34,87.0,315.0,895,667,28,21.49,0.28
AU-001,Audio,2023-W35,143.0,895.0,752,0,43,21.49,0.28
AU-001,Audio,2023-W36,129.0,752.0,623,0,19,21.49,0.28
AU-001,Audio,2023-W37,165.0,623.0,458,0,27,21.49,0.28
AU-001,Audio,2023-W38,87.0,458.0,371,0,20,21.49,0.28
AU-001,Audio,2023-W39,134.0,371.0,904,667,29,21.49,0.28
AU-001,Audio,2023-W40,241.0,904.0,663,0,37,21.49,0.28
AU-001,Audio,2023-W41,177.0,663.0,486,0,37,21.49,0.28
AU-001,Audio,2023-W42,193.0,,293,0,43,21.49,0.28
AU-001,Audio,2023-W43,255.0,293.0,705,667,21,21.49,0.28
AU-001,Audio,2023-W44,137.0,705.0,568,0,33,21.49,0.28
AU-001,Audio,2023-W45,302.0,568.0,266,0,26,21.49,0.28
AU-001,Audio,2023-W46,331.0,266.0,602,667,35,21.49,0.28
AU-001,Audio,2023-W47,290.0,602.0,312,0,19,21.49,0.28
AU-001,Audio,2023-W48,301.0,312.0,678,667,23,21.49,0.28
AU-001,Audio,2023-W49,96.0,678.0,582,0,19,21.49,0.28
AU-001,Audio,2023-W50,234.0,582.0,348,0,21,21.49,0.28
AU-001,Audio,2023-W51,217.0,348.0,798,667,30,21.49,0.28
AU-001,Audio,2023-W52,,798.0,586,0,24,21.49,0.28
AU-001,Audio,2024-W01,76.0,586.0,510,0,28,21.49,0.28
AU-001,Audio,2024-W02,53.0,,457,0,23,21.49,0.28
AU-001,Audio,2024-W03,85.0,457.0,372,0,26,21.49,0.28
AU-001,Audio,2024-W04,105.0,372.0,934,667,34,21.49,0.28
AU-001,Audio,2024-W05,155.0,,779,0,20,21.49,0.28
AU-001,Audio,2024-W06,166.0,779.0,613,0,22,21.49,0.28
AU-001,Audio,2024-W07,115.0,613.0,498,0,31,21.49,0.28
AU-001,Audio,2024-W08,179.0,498.0,319,0,24,21.49,0.28
AU-001,Audio,2024-W09,61.0,319.0,925,667,38,21.49,0.28
AU-001,Audio,2024-W10,88.0,925.0,837,0,25,21.49,0.28
AU-001,Audio,2024-W11,80.0,837.0,757,0,25,21.49,0.28
AU-001,Audio,2024-W12,87.0,757.0,670,0,32,21.49,0.28
AU-001,Audio,2024-W13,113.0,670.0,557,0,23,21.49,0.28
AU-001,Audio,2024-W14,138.0,557.0,419,0,29,21.49,0.28
AU-001,Audio,2024-W15,59.0,419.0,1027,667,34,21.49,0.28
AU-001,Audio,2024-W16,116.0,1027.0,911,0,37,21.49,0.28
AU-001,Audio,2024-W17,114.0,911.0,797,0,22,21.49,0.28
AU-001,Audio,2024-W18,105.0,797.0,692,0,33,21.49,0.28
AU-001,Audio,2024-W19,89.0,692.0,603,0,24,21.49,0.28
AU-001,Audio,2024-W20,105.0,603.0,498,0,19,21.49,0.28
AU-001,Audio,2024-W21,90.0,498.0,408,0,29,21.49,0.28
AU-001,Audio,2024-W22,144.0,408.0,931,667,30,21.49,0.28
