sku_id,product_category,week_id,sales_qty,inventory_begin,inventory_end,receipts,lead_time_days,unit_cost,holding_cost_rate
SH-005,Smart Home,2023-W28,24.0,180.0,156,0,0,69.09,0.25
WR_007,Wearables,2024-W12,35.0,466.0,431,0,0,65.79,0.3
aU-010,Audio,2024-W17,33.0,1776.0,1743,0,0,57.05,0.28
WR-005,Wearables,2023-W52,180.0,492.0,312,0,0,131.41,0.3
MA-003,Mobile Accessories,2023-W07,166.0,1659.0,1493,0,0,5.65,0.25
WR-010,Wear.,2024-W20,10.0,607.0,706,109,40,38.2,0.3
WR-O02,Wearables,2024-W31,71.0,491.0,767,347,25,50.33,0.3
SH-002,Smart Home,2023-W45,66.0,557.0,491,0,0,56.97,0.25
WR-006,Wearables,2023-W52,125.0,157.0,538,506,45,51.56,0.3
SH-007,Smart Home,2024-W19,50.0,482.0,771,339,20,36.19,0.25
WR-002,Wearables,2025-W45,142.0,142.0,0,0,0,50.33,0.3
SH-001,Smart Home,2023-W32,48.0,472.0,646,222,31,62.71,0.25
SH-005,Smart Home,2025-W45,24.0,,193,0,0,69.09,0.25
MA-004,Mobile Accessories,2025-W06,134.0,1655.0,1521,0,0,17.72,0.25
WR-007,Wearables,2025-W46,89.0,396.0,307,0,0,65.79,0.3
MA-007,Mobile Accessories,2025-W05,289.0,2696.0,4135,1728,17,6.61,0.25
CP-010,Computer Peripherals,2025-W06,24.0,838.0,814,0,0,41.81,0.25
WR-009,Wearables,2025-W51,40.0,433.0,393,0,0,89.7,0.3
WR-002,Wearables,2024-W50,176.0,384.0,208,0,0,50.33,0.3
WR-010,WEARABLES,2024-W16,12.0,651.0,639,0,0,38.2,0.3
SH-O02,Smart Home,2025-W04,58.0,708.0,650,0,0,56.97,0.25
CP-001,Computer Peripherals,2025-W27,154.0,861.0,1388,681,34,44.52,0.25
SH-001,Smart Home,2025-W51,64.0,581.0,517,0,0,62.71,0.25
AU-004,Audio,2024-W31,67.0,495.0,757,329,27,53.31,0.28
SH-003,Smart Home,2025-W06,41.0,357.0,559,243,14,51.34,0.25
MA-010,Mobile Accessories,2023-W27,91.0,3248.0,3157,0,0,7.97,0.25
SH-008,Smart Home,2024-W07,12.0,309.0,297,0,0,34.45,0.25
CP-009,Computer Peripherals,2024-W02,,1391.0,1358,0,0,49.81,0.25
WR-0O1,Wearables,2025-W51,171.0,483.0,965,653,18,87.21,0.3
MA-007,Mobile Accessories,2024-W09,326.0,3405.0,3079,0,0,6.61,0.25
AU-004,Audio,2023-W02,59.0,708.0,649,0,0,53.31,0.28
SH-003,SMART HOME,2024-W17,43.0,465.0,422,0,0,51.34,0.25
AU-008,Audio,2023-W22,17.0,897.0,1039,159,17,41.93,0.28
AU-006,Audio,2025-W13,158.0,1767.0,1609,0,0,77.66,0.28
SH-007,Smart Home,2025-W41,63.0,476.0,771,358,35,36.19,0.25
SH-003,Smart Home,2025-W18,76.0,465.0,389,0,0,51.34,0.25
MA-007,Mobile Accessories,2025-W16,441.0,4135.0,3694,0,0,6.61,0.25
CP-002,Computer Peripherals,2023-W33,74.0,249.0,581,406,28,9.25,0.25
MA-004,Mobile Accessories,2023-W29,2.0,985.0,1655,858,19,17.72,0.25
AU-005,Audio,2024-W28,59.0,737.0,969,291,36,16.42,0.28
WR-002,Wearables,2025-W30,56.0,665.0,609,0,0,50.33,0.3
WR-006,Wearables,2025-W48,146.0,538.0,392,0,0,51.56,0.3
SH-009,Smart Home,2023-W47,5.0,320.0,315,0,0,28.7,0.25
CP-007,Computer Peripherals,2025-W47,68.0,1001.0,933,0,0,24.22,0.25
SH-002,Smart Home,2024-W51,63.0,626.0,563,0,0,56.97,0.25
MA-004,Mobile Accessories,2023-W20,167.0,1468.0,1301,0,0,17.72,0.25
AU-003,Audio,2023-W11,85.0,693.0,1223,615,28,52.28,0.28
MA-009,mobile accessories,2025-W22,66.0,5145.0,5079,0,0,7.95,0.25
AU-004,Audio,2025-W11,62.0,705.0,643,0,0,53.31,0.28
MA-006,Mobile Accessories,2025-W44,153.0,944.0,1662,871,23,19.49,0.25
AU-006,Audio,2023-W18,134.0,1546.0,1412,0,0,77.66,0.28
SH-010,Smart Home,2025-W43,19.0,874.0,855,0,0,68.84,0.25
SH-003,Smart Home,2024-W28,53.0,482.0,429,0,0,51.34,0.25
SH-009,Smart Home,2024-W12,7.0,337.0,330,0,0,28.7,0.25
WR-003,Wearables,2024-W49,295.0,642.0,347,0,0,115.26,0.3
CP-006,computer peripherals,2023-W23,38.0,553.0,515,0,0,48.7,0.25
CP-007,Computer Peripherals,2023-W26,103.0,876.0,773,0,0,24.22,0.25
AU-010,Audio,2023-W24,,1929.0,1883,0,0,57.05,0.28
SH-006,Smart Home,2023-W44,54.0,254.0,200,0,0,58.23,0.25
WR-001,Wearables,2023-W02,48.0,,863,0,0,87.21,0.3
SH-006,Smart Home,2025-W21,45.0,355.0,310,0,0,58.23,0.25
CP-008,Computer Peripherals,2023-W28,15.0,543.0,528,0,0,23.96,0.25
CP-004,Computer Peripherals,2025-W19,117.0,881.0,764,0,0,44.48,0.25
AU-007,Audio,2025-W03,118.0,2077.0,1959,0,0,32.71,0.28
SH-003,Smart Home,2023-W08,-54.0,429.0,559,184,21,51.34,0.25
CP-009,Computer Peripherals,2024-W38,34.0,1215.0,1451,270,37,49.81,0.25
WR-008,Wearables,2024-W39,,739.0,725,0,0,121.16,0.3
MA-010,Mobile Accessories,2025-W04,79.0,3159.0,3080,0,0,7.97,0.25
SH-005,Smart Home,2023-W23,14.0,175.0,161,0,0,69.09,0.25
MA-006,Mobile Accessories,2023-W15,139.0,1073.0,934,0,0,19.49,0.25
WR-009,Wearables,2023-W16,15.0,666.0,651,0,0,89.7,0.3
WR-002,Wearables,2025-W39,54.0,712.0,658,0,0,50.33,0.3
AU-008,Audio,2024-W23,17.0,1017.0,1000,0,0,41.93,0.28
CP-010,Computer Peripherals,2023-W25,19.0,985.0,966,0,0,41.81,0.25
rnA-007,Mobile Accessories,2023-W30,353.0,3086.0,2733,0,0,6.61,0.25
MA-007,Mobile Accessories,2025-W45,326.0,2337.0,4135,2124,18,6.61,0.25
SH-009,Smart Home,2023-W44,11.0,343.0,332,0,0,28.7,0.25
CP-009,Computer Peripherals,2024-W32,34.0,1396.0,1362,0,0,49.81,0.25
SH-010,Smart Home,2025-W25,20.0,1054.0,1034,0,0,68.84,0.25
CP-009,Computer Peripherals,2023-W07,39.0,1235.0,1196,0,0,49.81,0.25
WR-006,Wearables,2024-W50,147.0,,254,0,0,51.56,0.3
SH-001,Smart Home,2023-W22,65.0,415.0,646,296,33,62.71,0.25
CP-009,Computer Peripherals,2025-W43,25.0,1184.0,1159,0,0,49.81,0.25
CP-004,Computer Peripherals,2023-W21,74.0,877.0,803,0,0,44.48,0.25
CP-006,COMPUTER PERIPHERALS,2025-W09,43.0,444.0,401,0,0,48.7,0.25
MA-006,Mobile Accessories,2025-W25,197.0,1525.0,1328,0,0,19.49,0.25
WR-007,Wearables,2023-W39,28.0,463.0,435,0,0,65.79,0.3
AU-002,Audio,2023-W03,147.0,1187.0,1040,0,0,25.58,0.28
WR-007,Wearables,2024-W50,51.0,51.0,0,0,0,65.79,0.3
MA-002,Mobile Accessories,2025-W04,372.0,2641.0,2269,0,0,13.18,0.25
AU-005,Audio,2025-W01,,658.0,605,0,0,16.42,0.28
WR-007,Wearables,2023-W30,36.0,455.0,419,0,0,65.79,0.3
WR-002,Wearables,2024-W52,175.0,0.0,767,942,42,50.33,0.3
AU-007,Audio,2025-W39,112.0,1925.0,2356,543,25,32.71,0.28
CP-005,Computer Peripherals,2024-W10,63.0,483.0,420,0,0,25.49,0.25
AU-010,Audio,2023-W49,-134.0,1145.0,1011,0,0,57.05,0.28
MA-005,Mobile Accessories,2024-W01,221.0,2881.0,2660,0,0,15.04,0.25
AU-005,Audio,2024-W17,59.0,735.0,676,0,0,16.42,0.28
SH-009,Smart Home,2025-W45,9.0,308.0,299,0,0,28.7,0.25
MA-006,Mobile Accessories,2025-W13,149.0,1662.0,1513,0,0,19.49,0.25
WR-005,Wearables,2025-W12,72.0,679.0,940,333,44,131.41,0.3
WR-006,Wearables,2023-W36,31.0,501.0,470,0,0,51.56,0.3
WR-008,Wearables,2024-W21,13.0,694.0,681,0,0,121.16,0.3
CP-010,Computer Peripherals,2024-W14,13.0,1028.0,1015,0,0,41.81,0.25
AU-002,Audio,2024-W16,133.0,1462.0,1329,0,0,25.58,0.28
AU-004,Audio,2024-W28,59.0,650.0,591,0,0,53.31,0.28
CP-009,Computer Peripherals,2024-W21,28.0,1396.0,1368,0,0,49.81,0.25
CP-008,Computer Peripherals,2024-W16,12.0,594.0,582,0,0,23.96,0.25
CP-003,Computer Peripherals,2024-W29,151.0,808.0,1274,617,30,41.52,0.25
CP-001,Computer Peripherals,2025-W41,128.0,1099.0,971,0,0,44.52,0.25
AU-003,Audio,2024-W29,98.0,1129.0,1031,0,0,52.28,0.28
SH-008,Smart Home,2025-W07,13.0,388.0,375,0,0,34.45,0.25
AU-006,audio,2025-W41,361.0,1866.0,1505,0,0,77.66,0.28
CP-010,Computer Peripherals,2025-W22,22.0,976.0,954,0,0,41.81,0.25
MA-006,Mobile Accessories,2024-W25,172.0,883.0,1662,951,19,19.49,0.25
AU-010,Audio,2024-W40,59.0,1718.0,1659,0,0,57.05,0.28
AU-009,Audio,2025-W33,16.0,932.0,916,0,0,14.34,0.28
AU-009,Audio,2023-W18,16.0,938.0,922,0,0,14.34,0.28
SH-004,Smart Home,2024-W25,22.0,240.0,218,0,0,24.17,0.25
SH-006,Smart Home,2023-W51,33.0,200.0,355,188,29,58.23,0.25
WR-006,Wearables,2023-W08,38.0,512.0,474,0,0,51.56,0.3
WR-003,Wearables,2025-W38,104.0,778.0,674,0,0,115.26,0.3
WR-001,Wearables,2024-W28,41.0,881.0,840,0,0,87.21,0.3
MA-005,Mobile Accessories,2025-W36,305.0,3212.0,2907,0,0,15.04,0.25
AU-009,Audio,2024-W51,48.0,662.0,614,0,0,14.34,0.28
SH-009,Smart Home,2023-W20,,306.0,300,0,0,28.7,0.25
AU-003,Audio,2024-W17,,928.0,845,0,0,52.28,0.28
CP-003,Computer Peripherals,2025-W30,115.0,1013.0,898,0,0,41.52,0.25
